epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.949999988079071,0.0010000000474974513,0.16289643943309784,0.5,0.6974954605102539
1,1.0,0.0010000000474974513,0.07911570370197296,0.5,0.6974535584449768
2,1.0,0.0010000000474974513,0.043970923870801926,0.5,0.6969895362854004
3,1.0,0.0010000000474974513,0.017810950055718422,0.5,0.696612536907196
4,1.0,0.0010000000474974513,0.04088500142097473,0.5,0.6955029368400574
5,1.0,0.0010000000474974513,0.038289379328489304,0.5,0.6941191554069519
6,1.0,0.0010000000474974513,0.0070320307277143,0.5,0.6934126019477844
7,1.0,0.0010000000474974513,0.003694454673677683,0.5,0.693150520324707
8,1.0,0.0010000000474974513,0.006165229715406895,0.5,0.693019688129425
9,1.0,0.0010000000474974513,0.005767923779785633,0.5,0.6930221915245056
10,1.0,0.0010000000474974513,0.005249233450740576,0.5,0.6930148005485535
11,1.0,0.0010000000474974513,0.003529513254761696,0.5,0.6930046081542969
12,1.0,0.0005000000237487257,0.0030476090032607317,0.5,0.6930902004241943
13,1.0,0.0005000000237487257,0.001682609086856246,0.5,0.6933247447013855
14,1.0,0.0005000000237487257,0.003364118281751871,0.5,0.6937388777732849
15,1.0,0.0002500000118743628,0.0026255103293806314,0.5,0.6944159865379333
16,1.0,0.0002500000118743628,0.0036708873230963945,0.5,0.6952970623970032
17,1.0,0.0002500000118743628,0.0018012505024671555,0.5,0.6963790059089661
0,0.7785714268684387,0.0010000000474974513,0.5116342902183533,0.5,0.741287350654602
0,0.7400000095367432,0.0010000000474974513,0.6613302826881409,0.5,0.7532542943954468
1,0.8642857074737549,0.0010000000474974513,0.326004296541214,0.5,1.7934494018554688
2,0.9571428298950195,0.0010000000474974513,0.1149229109287262,0.5,2.998918056488037
3,0.9900000095367432,0.0010000000474974513,0.03368128836154938,0.5,4.001400470733643
4,0.9971428513526917,0.0005000000237487257,0.013756586238741875,0.5,4.725879192352295
5,1.0,0.0005000000237487257,0.007118322420865297,0.5,5.414536476135254
0,0.8399999737739563,0.0010000000474974513,0.37206459045410156,0.5,0.7257798314094543
1,0.9742857217788696,0.0010000000474974513,0.061294905841350555,0.5,1.6899727582931519
2,0.9971428513526917,0.0010000000474974513,0.01243087463080883,0.5,3.3352739810943604
3,1.0,0.0010000000474974513,0.0039051144849509,0.5,4.666676998138428
4,0.9985714554786682,0.0005000000237487257,0.00739886611700058,0.5,5.75078821182251
5,0.9985714554786682,0.0005000000237487257,0.005584022495895624,0.5,6.560551643371582
